2 100 -5 5 121
-10.0	-10.0	-30.0
-10.0	-8.0	-26.0
-10.0	-6.0	-22.0
-10.0	-4.0	-18.0
-10.0	-2.0	-14.0
-10.0	0.0	-10.0
-10.0	2.0	-6.0
-10.0	4.0	-2.0
-10.0	6.0	2.0
-10.0	8.0	6.0
-10.0	10.0	10.0
-8.0	-10.0	-28.0
-8.0	-8.0	-24.0
-8.0	-6.0	-20.0
-8.0	-4.0	-16.0
-8.0	-2.0	-12.0
-8.0	0.0	-8.0
-8.0	2.0	-4.0
-8.0	4.0	0.0
-8.0	6.0	4.0
-8.0	8.0	8.0
-8.0	10.0	12.0
-6.0	-10.0	-26.0
-6.0	-8.0	-22.0
-6.0	-6.0	-18.0
-6.0	-4.0	-14.0
-6.0	-2.0	-10.0
-6.0	0.0	-6.0
-6.0	2.0	-2.0
-6.0	4.0	2.0
-6.0	6.0	6.0
-6.0	8.0	10.0
-6.0	10.0	14.0
-4.0	-10.0	-24.0
-4.0	-8.0	-20.0
-4.0	-6.0	-16.0
-4.0	-4.0	-12.0
-4.0	-2.0	-8.0
-4.0	0.0	-4.0
-4.0	2.0	0.0
-4.0	4.0	4.0
-4.0	6.0	8.0
-4.0	8.0	12.0
-4.0	10.0	16.0
-2.0	-10.0	-22.0
-2.0	-8.0	-18.0
-2.0	-6.0	-14.0
-2.0	-4.0	-10.0
-2.0	-2.0	-6.0
-2.0	0.0	-2.0
-2.0	2.0	2.0
-2.0	4.0	6.0
-2.0	6.0	10.0
-2.0	8.0	14.0
-2.0	10.0	18.0
0.0	-10.0	-20.0
0.0	-8.0	-16.0
0.0	-6.0	-12.0
0.0	-4.0	-8.0
0.0	-2.0	-4.0
0.0	0.0	0.0
0.0	2.0	4.0
0.0	4.0	8.0
0.0	6.0	12.0
0.0	8.0	16.0
0.0	10.0	20.0
2.0	-10.0	-18.0
2.0	-8.0	-14.0
2.0	-6.0	-10.0
2.0	-4.0	-6.0
2.0	-2.0	-2.0
2.0	0.0	2.0
2.0	2.0	6.0
2.0	4.0	10.0
2.0	6.0	14.0
2.0	8.0	18.0
2.0	10.0	22.0
4.0	-10.0	-16.0
4.0	-8.0	-12.0
4.0	-6.0	-8.0
4.0	-4.0	-4.0
4.0	-2.0	0.0
4.0	0.0	4.0
4.0	2.0	8.0
4.0	4.0	12.0
4.0	6.0	16.0
4.0	8.0	20.0
4.0	10.0	24.0
6.0	-10.0	-14.0
6.0	-8.0	-10.0
6.0	-6.0	-6.0
6.0	-4.0	-2.0
6.0	-2.0	2.0
6.0	0.0	6.0
6.0	2.0	10.0
6.0	4.0	14.0
6.0	6.0	18.0
6.0	8.0	22.0
6.0	10.0	26.0
8.0	-10.0	-12.0
8.0	-8.0	-8.0
8.0	-6.0	-4.0
8.0	-4.0	0.0
8.0	-2.0	4.0
8.0	0.0	8.0
8.0	2.0	12.0
8.0	4.0	16.0
8.0	6.0	20.0
8.0	8.0	24.0
8.0	10.0	28.0
10.0	-10.0	-10.0
10.0	-8.0	-6.0
10.0	-6.0	-2.0
10.0	-4.0	2.0
10.0	-2.0	6.0
10.0	0.0	10.0
10.0	2.0	14.0
10.0	4.0	18.0
10.0	6.0	22.0
10.0	8.0	26.0
10.0	10.0	30.0
